AVO-Kurztext,AVO-Langtext,VD-Kurztext,Beschreibung,Kurzcode,label
Bremssattel-links 4x aufnehmen,- Bremssattel links aus Zwischenablage aufnehmen - 4x aufnehmen an Position - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Abschluss aufnehmen von Bremssattel links,PT.SEC,3
Kardanwelle-hinten 3x scannen mit Akkuschrauber,- Kardanwelle hinten aus Zwischenablage aufnehmen - 3x scannen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Vorbereitung für scannen von Kardanwelle,LO-KPI,2
Bremsdruckleitung-oben 2x platzieren,- Bremsdruckleitung oben aus Zwischenablage aufnehmen - 2x platzieren an Position - Qualitätskontrolle durchführen,Bremsdruckleitung an Dämpferstelze,Abschluss platzieren von Bremsdruckleitung oben,3000HS3....5,0
Bremsdruckleitung-oben 3x verschrauben mit Zange,- Bremsdruckleitung oben aus Zwischenablage aufnehmen - 3x verschrauben an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Bremsdruckleitung,Abschluss verschrauben von Bremsdruckleitung oben,3000OO3....5,0
Bremsabschirmblech-vorne 6x holen mit Akkuschrauber,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - 6x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,6x holen von Bremsabschirmblech vorne,LO-VWN,2
Kardanwelle-vorne 3x holen,- Kardanwelle vorne aus Zwischenablage aufnehmen - 3x holen an Position - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Abschluss holen von Kardanwelle vorne,PT.SEC,2
Kabelbinder-hinten 4x montieren mit Scanner,- Kabelbinder hinten aus Zwischenablage aufnehmen - 4x montieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Kabelbinder hinten montieren und positionieren,PT.SEC,3
Bremsdruckleitung-rechts 6x platzieren mit Akkuschrauber,- Bremsdruckleitung rechts aus Zwischenablage aufnehmen - 6x platzieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,Bremsdruckleitung rechts platzieren und positionieren,PT.SEC,3
Kardanwelle-rechts 6x holen mit Zange,- Kardanwelle rechts aus Zwischenablage aufnehmen - 6x holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Kardanwelle rechts holen und positionieren,M-MSL.2,0
Bremsabschirmblech-vorne 6x platzieren mit Scanner,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - 6x platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Bremsabschirmblech,Vorbereitung für platzieren von Bremsabschirmblech,PT.SEC,0
Bremsdruckleitung-unten 3x scannen mit Zange,- Bremsdruckleitung unten aus Zwischenablage aufnehmen - 3x scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Bremsdruckleitung,Abschluss scannen von Bremsdruckleitung unten,PT.SEC,1
Luftleitelement-hinten 2x holen mit Zange,- Luftleitelement hinten aus Zwischenablage aufnehmen - 2x holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Luftleitelement hinten holen und positionieren,PT.SEC,0
Bremssattel-links platzieren,- Bremssattel links aus Zwischenablage aufnehmen - platzieren an Position - Qualitätskontrolle durchführen,Montage Bremssattel,Vorbereitung für platzieren von Bremssattel,3000BN3....2,4
Luftleitelement-rechts 3x aufnehmen mit Akkuschrauber,- Luftleitelement rechts aus Zwischenablage aufnehmen - 3x aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,Luftleitelement rechts aufnehmen und positionieren,SEC,0
Kabelbinder-vorne 6x aufnehmen mit Akkuschrauber,- Kabelbinder vorne aus Zwischenablage aufnehmen - 6x aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,6x aufnehmen von Kabelbinder vorne,LO-LYV,3
Bremsabschirmblech-rechts platzieren mit Scanner,- Bremsabschirmblech rechts aus Zwischenablage aufnehmen - platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,platzieren von Bremsabschirmblech rechts,LO-AKY,5
Luftleitelement-unten 4x montieren mit HG,- Luftleitelement unten aus Zwischenablage aufnehmen - 4x montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,Vorbereitung für montieren von Luftleitelement,LO-CKC,0
Kardanwelle-rechts 6x aufnehmen mit Scanner,- Kardanwelle rechts aus Zwischenablage aufnehmen - 6x aufnehmen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Kardanwelle rechts aufnehmen und positionieren,SEC,3
Bremsabschirmblech-unten 4x platzieren mit HG,- Bremsabschirmblech unten aus Zwischenablage aufnehmen - 4x platzieren an Position - HG verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,4x platzieren von Bremsabschirmblech unten,PT.SEC,1
Kardanwelle-rechts 3x scannen mit Zange,- Kardanwelle rechts aus Zwischenablage aufnehmen - 3x scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Kardanwelle an Spurstange,Vorbereitung für scannen von Kardanwelle,SEC,2
Kardanwelle-hinten 6x verschrauben mit EC-Schrauber,- Kardanwelle hinten aus Zwischenablage aufnehmen - 6x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Vorbereitung für verschrauben von Kardanwelle,M-SDV.2,3
Bremsabschirmblech-hinten 3x heften mit Zange,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 3x heften an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Spurstange,Bremsabschirmblech hinten heften und positionieren,3000ZC4....4,0
Kabelbinder-vorne 3x holen mit Scanner,- Kabelbinder vorne aus Zwischenablage aufnehmen - 3x holen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss holen von Kabelbinder vorne,3000BZ5....3,0
Kabelbinder-rechts 4x holen mit Akkuschrauber,- Kabelbinder rechts aus Zwischenablage aufnehmen - 4x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss holen von Kabelbinder rechts,M-TXX.2,2
Bremsdruckleitung-links 4x holen mit HG,- Bremsdruckleitung links aus Zwischenablage aufnehmen - 4x holen an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Bremsdruckleitung,Abschluss holen von Bremsdruckleitung links,SEC,0
Bremsabschirmblech-vorne 4x heften mit Scanner,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - 4x heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,4x heften von Bremsabschirmblech vorne,PT.SEC,3
Bremsdruckleitung-rechts 6x aufnehmen mit Akkuschrauber,- Bremsdruckleitung rechts aus Zwischenablage aufnehmen - 6x aufnehmen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,Bremsdruckleitung rechts aufnehmen und positionieren,M-GVV.2,1
Schraube-oben 2x platzieren,- Schraube oben aus Zwischenablage aufnehmen - 2x platzieren an Position - Qualitätskontrolle durchführen,Schraube an Schwenklager,Schraube oben platzieren und positionieren,3000SO5....2,0
Luftleitelement-hinten 2x platzieren mit Zange,- Luftleitelement hinten aus Zwischenablage aufnehmen - 2x platzieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Luftleitelement an Dämpferstelze,Luftleitelement hinten platzieren und positionieren,PT.SEC,3
Kabelbinder-vorne 4x scannen mit Akkuschrauber,- Kabelbinder vorne aus Zwischenablage aufnehmen - 4x scannen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss scannen von Kabelbinder vorne,M-GXV.2,0
Kabelbinder-unten scannen mit Scanner,- Kabelbinder unten aus Zwischenablage aufnehmen - scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss scannen von Kabelbinder unten,M-UHU.1,0
Kabelbinder-links 4x heften mit HG,- Kabelbinder links aus Zwischenablage aufnehmen - 4x heften an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Kabelbinder,4x heften von Kabelbinder links,SEC,3
Kardanwelle-unten 4x aufnehmen,- Kardanwelle unten aus Zwischenablage aufnehmen - 4x aufnehmen an Position - Qualitätskontrolle durchführen,Kardanwelle an Querlenker,Vorbereitung für aufnehmen von Kardanwelle,PT.SEC,3
Luftleitelement-unten 3x holen mit HG,- Luftleitelement unten aus Zwischenablage aufnehmen - 3x holen an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Vorbereitung für holen von Luftleitelement,SEC,0
Schraube-oben platzieren mit Zange,- Schraube oben aus Zwischenablage aufnehmen - platzieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Schraube an Spurstange,Vorbereitung für platzieren von Schraube,SEC,0
Kabelbinder-oben 4x aufnehmen mit Zange,- Kabelbinder oben aus Zwischenablage aufnehmen - 4x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Kabelbinder,Abschluss aufnehmen von Kabelbinder oben,M-FZR.2,3
Schraube-links 6x montieren mit Zange,- Schraube links aus Zwischenablage aufnehmen - 6x montieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Schraube an Schwenklager,Vorbereitung für montieren von Schraube,M-EYP.1,0
Schraube-links 4x holen mit EC-Schrauber,- Schraube links aus Zwischenablage aufnehmen - 4x holen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Schraube,Vorbereitung für holen von Schraube,SEC,2
Bremssattel-oben 6x scannen mit EC-Schrauber,- Bremssattel oben aus Zwischenablage aufnehmen - 6x scannen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Vorbereitung für scannen von Bremssattel,PT.SEC,2
Luftleitelement-oben 2x verschrauben mit HG,- Luftleitelement oben aus Zwischenablage aufnehmen - 2x verschrauben an Position - HG verwenden - Qualitätskontrolle durchführen,Luftleitelement an Dämpferstelze,Abschluss verschrauben von Luftleitelement oben,LO-QUI,0
Kardanwelle-links 6x scannen mit Zange,- Kardanwelle links aus Zwischenablage aufnehmen - 6x scannen an Position - Zange verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Abschluss scannen von Kardanwelle links,LO-XPJ,0
Bremsdruckleitung-hinten 3x holen mit Zange,- Bremsdruckleitung hinten aus Zwischenablage aufnehmen - 3x holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Schwenklager,Bremsdruckleitung hinten holen und positionieren,PT.SEC,2
Luftleitelement-unten 4x heften mit Scanner,- Luftleitelement unten aus Zwischenablage aufnehmen - 4x heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,Vorbereitung für heften von Luftleitelement,3000BF1....1,1
Bremsabschirmblech-links 3x verschrauben,- Bremsabschirmblech links aus Zwischenablage aufnehmen - 3x verschrauben an Position - Qualitätskontrolle durchführen,Bremsabschirmblech an Dämpferstelze,Bremsabschirmblech links verschrauben und positionieren,LO-TSJ,3
Bremsdruckleitung-oben 6x scannen mit HG,- Bremsdruckleitung oben aus Zwischenablage aufnehmen - 6x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Spurstange,6x scannen von Bremsdruckleitung oben,PT.SEC,0
Schraube-unten 2x scannen mit HG,- Schraube unten aus Zwischenablage aufnehmen - 2x scannen an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Schraube,2x scannen von Schraube unten,M-ZBH.2,0
Kardanwelle-links 2x verschrauben,- Kardanwelle links aus Zwischenablage aufnehmen - 2x verschrauben an Position - Qualitätskontrolle durchführen,Kardanwelle an Dämpferstelze,2x verschrauben von Kardanwelle links,PT.SEC,0
Bremssattel-links 2x holen mit Akkuschrauber,- Bremssattel links aus Zwischenablage aufnehmen - 2x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Bremssattel links holen und positionieren,PT.SEC,2
Bremsabschirmblech-rechts 6x verschrauben mit Akkuschrauber,- Bremsabschirmblech rechts aus Zwischenablage aufnehmen - 6x verschrauben an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Querlenker,Bremsabschirmblech rechts verschrauben und positionieren,3000SU4....2,0
Kardanwelle-oben 2x platzieren,- Kardanwelle oben aus Zwischenablage aufnehmen - 2x platzieren an Position - Qualitätskontrolle durchführen,Einbau Kardanwelle,Vorbereitung für platzieren von Kardanwelle,M-MAF.1,0
Kardanwelle-vorne 3x montieren,- Kardanwelle vorne aus Zwischenablage aufnehmen - 3x montieren an Position - Qualitätskontrolle durchführen,Einbau Kardanwelle,Abschluss montieren von Kardanwelle vorne,LO-AFM,3
Bremssattel-rechts 4x holen mit Akkuschrauber,- Bremssattel rechts aus Zwischenablage aufnehmen - 4x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Bremssattel,Bremssattel rechts holen und positionieren,PT.SEC,2
Bremsdruckleitung-rechts 2x heften mit Scanner,- Bremsdruckleitung rechts aus Zwischenablage aufnehmen - 2x heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Spurstange,Bremsdruckleitung rechts heften und positionieren,M-EBB.1,1
Bremsabschirmblech-hinten 4x verschrauben mit EC-Schrauber,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 4x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Querlenker,Vorbereitung für verschrauben von Bremsabschirmblech,3000EY1....4,0
Bremsabschirmblech-vorne aufnehmen mit Scanner,- Bremsabschirmblech vorne aus Zwischenablage aufnehmen - aufnehmen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,Vorbereitung für aufnehmen von Bremsabschirmblech,LO-EZO,5
Bremssattel-links montieren,- Bremssattel links aus Zwischenablage aufnehmen - montieren an Position - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Abschluss montieren von Bremssattel links,SEC,4
Luftleitelement-hinten 3x montieren mit Zange,- Luftleitelement hinten aus Zwischenablage aufnehmen - 3x montieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,Abschluss montieren von Luftleitelement hinten,LO-XPN,3
Bremssattel-oben 3x scannen mit EC-Schrauber,- Bremssattel oben aus Zwischenablage aufnehmen - 3x scannen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,3x scannen von Bremssattel oben,PT.SEC,0
Luftleitelement-vorne platzieren mit Scanner,- Luftleitelement vorne aus Zwischenablage aufnehmen - platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Vorbereitung für platzieren von Luftleitelement,LO-CTW,0
Schraube-hinten 4x aufnehmen mit EC-Schrauber,- Schraube hinten aus Zwischenablage aufnehmen - 4x aufnehmen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Schraube,Abschluss aufnehmen von Schraube hinten,3000RM3....4,0
Bremsdruckleitung-hinten 4x holen mit Scanner,- Bremsdruckleitung hinten aus Zwischenablage aufnehmen - 4x holen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Dämpferstelze,Vorbereitung für holen von Bremsdruckleitung,M-YHF.2,0
Bremssattel-vorne 6x verschrauben mit HG,- Bremssattel vorne aus Zwischenablage aufnehmen - 6x verschrauben an Position - HG verwenden - Qualitätskontrolle durchführen,Bremssattel an Spurstange,6x verschrauben von Bremssattel vorne,PT.SEC,0
Schraube-links heften mit Zange,- Schraube links aus Zwischenablage aufnehmen - heften an Position - Zange verwenden - Qualitätskontrolle durchführen,Schraube an Querlenker,Abschluss heften von Schraube links,3000LX2....4,0
Schraube-oben 4x aufnehmen mit Zange,- Schraube oben aus Zwischenablage aufnehmen - 4x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Montage Schraube,Schraube oben aufnehmen und positionieren,PT.SEC,3
Bremssattel-links 2x montieren mit Zange,- Bremssattel links aus Zwischenablage aufnehmen - 2x montieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Bremssattel,Abschluss montieren von Bremssattel links,LO-BER,3
Bremsabschirmblech-oben 2x aufnehmen,- Bremsabschirmblech oben aus Zwischenablage aufnehmen - 2x aufnehmen an Position - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,Vorbereitung für aufnehmen von Bremsabschirmblech,LO-UFB,0
Kabelbinder-vorne montieren mit EC-Schrauber,- Kabelbinder vorne aus Zwischenablage aufnehmen - montieren an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Vorbereitung für montieren von Kabelbinder,3000DA1....5,0
Kabelbinder-rechts 4x montieren mit EC-Schrauber,- Kabelbinder rechts aus Zwischenablage aufnehmen - 4x montieren an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,4x montieren von Kabelbinder rechts,M-YFU.2,0
Bremsdruckleitung-rechts 6x holen mit Zange,- Bremsdruckleitung rechts aus Zwischenablage aufnehmen - 6x holen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Dämpferstelze,Abschluss holen von Bremsdruckleitung rechts,3000KS3....2,2
Kardanwelle-vorne 2x verschrauben mit HG,- Kardanwelle vorne aus Zwischenablage aufnehmen - 2x verschrauben an Position - HG verwenden - Qualitätskontrolle durchführen,Kardanwelle an Schwenklager,Kardanwelle vorne verschrauben und positionieren,LO-VQD,3
Bremsdruckleitung-links 2x holen mit Akkuschrauber,- Bremsdruckleitung links aus Zwischenablage aufnehmen - 2x holen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsdruckleitung an Spurstange,2x holen von Bremsdruckleitung links,3000QU4....5,1
Kardanwelle-unten 6x verschrauben mit EC-Schrauber,- Kardanwelle unten aus Zwischenablage aufnehmen - 6x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,6x verschrauben von Kardanwelle unten,PT.SEC,0
Luftleitelement-hinten 6x heften mit HG,- Luftleitelement hinten aus Zwischenablage aufnehmen - 6x heften an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Luftleitelement hinten heften und positionieren,M-VET.2,3
Schraube-hinten 4x verschrauben mit Akkuschrauber,- Schraube hinten aus Zwischenablage aufnehmen - 4x verschrauben an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Schraube an Spurstange,Schraube hinten verschrauben und positionieren,3000NT1....4,3
Bremsabschirmblech-rechts 2x heften mit Scanner,- Bremsabschirmblech rechts aus Zwischenablage aufnehmen - 2x heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,Abschluss heften von Bremsabschirmblech rechts,PT.SEC,0
Kardanwelle-hinten 3x scannen mit Scanner,- Kardanwelle hinten aus Zwischenablage aufnehmen - 3x scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Einbau Kardanwelle,Kardanwelle hinten scannen und positionieren,LO-JIM,2
Kardanwelle-links 4x scannen mit Scanner,- Kardanwelle links aus Zwischenablage aufnehmen - 4x scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Montage Kardanwelle,Abschluss scannen von Kardanwelle links,PT.SEC,0
Bremssattel-rechts 4x scannen mit Akkuschrauber,- Bremssattel rechts aus Zwischenablage aufnehmen - 4x scannen an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremssattel an Querlenker,4x scannen von Bremssattel rechts,M-FCE.2,0
Bremsabschirmblech-unten 4x aufnehmen mit HG,- Bremsabschirmblech unten aus Zwischenablage aufnehmen - 4x aufnehmen an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Bremsabschirmblech,4x aufnehmen von Bremsabschirmblech unten,SEC,0
Luftleitelement-unten montieren mit HG,- Luftleitelement unten aus Zwischenablage aufnehmen - montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Luftleitelement an Dämpferstelze,montieren von Luftleitelement unten,3000TM5....3,1
Bremssattel-unten 4x aufnehmen mit Zange,- Bremssattel unten aus Zwischenablage aufnehmen - 4x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Bremssattel an Spurstange,Abschluss aufnehmen von Bremssattel unten,M-LHS.1,0
Luftleitelement-unten verschrauben mit HG,- Luftleitelement unten aus Zwischenablage aufnehmen - verschrauben an Position - HG verwenden - Qualitätskontrolle durchführen,Luftleitelement an Spurstange,Luftleitelement unten verschrauben und positionieren,M-HQL.1,0
Bremssattel-rechts 3x montieren mit HG,- Bremssattel rechts aus Zwischenablage aufnehmen - 3x montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Einbau Bremssattel,Abschluss montieren von Bremssattel rechts,LO-ZUP,1
Kabelbinder-unten 2x heften,- Kabelbinder unten aus Zwischenablage aufnehmen - 2x heften an Position - Qualitätskontrolle durchführen,Kabelbinder an Dämpferstelze,Abschluss heften von Kabelbinder unten,PT.SEC,3
Schraube-rechts 2x verschrauben mit EC-Schrauber,- Schraube rechts aus Zwischenablage aufnehmen - 2x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Schraube,Schraube rechts verschrauben und positionieren,SEC,1
Luftleitelement-links 6x verschrauben mit Zange,- Luftleitelement links aus Zwischenablage aufnehmen - 6x verschrauben an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Vorbereitung für verschrauben von Luftleitelement,LO-GUO,0
Bremssattel-vorne aufnehmen mit EC-Schrauber,- Bremssattel vorne aus Zwischenablage aufnehmen - aufnehmen an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Bremssattel,Vorbereitung für aufnehmen von Bremssattel,PT.SEC,0
Luftleitelement-vorne 2x montieren mit HG,- Luftleitelement vorne aus Zwischenablage aufnehmen - 2x montieren an Position - HG verwenden - Qualitätskontrolle durchführen,Luftleitelement an Dämpferstelze,2x montieren von Luftleitelement vorne,M-GUE.1,0
Kardanwelle-rechts 4x verschrauben mit HG,- Kardanwelle rechts aus Zwischenablage aufnehmen - 4x verschrauben an Position - HG verwenden - Qualitätskontrolle durchführen,Kardanwelle an Dämpferstelze,4x verschrauben von Kardanwelle rechts,PT.SEC,0
Schraube-unten 3x aufnehmen,- Schraube unten aus Zwischenablage aufnehmen - 3x aufnehmen an Position - Qualitätskontrolle durchführen,Einbau Schraube,Schraube unten aufnehmen und positionieren,PT.SEC,3
Bremsabschirmblech-oben 4x platzieren mit Scanner,- Bremsabschirmblech oben aus Zwischenablage aufnehmen - 4x platzieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Dämpferstelze,4x platzieren von Bremsabschirmblech oben,M-ZXQ.1,3
Bremssattel-hinten 3x platzieren mit EC-Schrauber,- Bremssattel hinten aus Zwischenablage aufnehmen - 3x platzieren an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Montage Bremssattel,Vorbereitung für platzieren von Bremssattel,SEC,3
Kabelbinder-oben heften mit Akkuschrauber,- Kabelbinder oben aus Zwischenablage aufnehmen - heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Montage Kabelbinder,Abschluss heften von Kabelbinder oben,LO-GDY,0
Kabelbinder-unten 2x heften mit Scanner,- Kabelbinder unten aus Zwischenablage aufnehmen - 2x heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kabelbinder an Schwenklager,2x heften von Kabelbinder unten,PT.SEC,0
Luftleitelement-vorne verschrauben mit EC-Schrauber,- Luftleitelement vorne aus Zwischenablage aufnehmen - verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Abschluss verschrauben von Luftleitelement vorne,PT.SEC,0
Luftleitelement-hinten 3x heften mit HG,- Luftleitelement hinten aus Zwischenablage aufnehmen - 3x heften an Position - HG verwenden - Qualitätskontrolle durchführen,Montage Luftleitelement,3x heften von Luftleitelement hinten,3000LS2....1,0
Luftleitelement-vorne 6x aufnehmen mit Zange,- Luftleitelement vorne aus Zwischenablage aufnehmen - 6x aufnehmen an Position - Zange verwenden - Qualitätskontrolle durchführen,Einbau Luftleitelement,Abschluss aufnehmen von Luftleitelement vorne,SEC,0
Bremsabschirmblech-unten platzieren mit HG,- Bremsabschirmblech unten aus Zwischenablage aufnehmen - platzieren an Position - HG verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,Abschluss platzieren von Bremsabschirmblech unten,PT.SEC,5
Bremsabschirmblech-oben 4x platzieren mit Akkuschrauber,- Bremsabschirmblech oben aus Zwischenablage aufnehmen - 4x platzieren an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Schwenklager,Vorbereitung für platzieren von Bremsabschirmblech,M-XDR.2,3
Kabelbinder-hinten 3x heften mit Akkuschrauber,- Kabelbinder hinten aus Zwischenablage aufnehmen - 3x heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Kabelbinder an Spurstange,Abschluss heften von Kabelbinder hinten,PT.SEC,0
Kardanwelle-vorne 4x verschrauben mit EC-Schrauber,- Kardanwelle vorne aus Zwischenablage aufnehmen - 4x verschrauben an Position - EC-Schrauber verwenden - Qualitätskontrolle durchführen,Kardanwelle an Spurstange,Abschluss verschrauben von Kardanwelle vorne,PT.SEC,1
Kabelbinder-links holen,- Kabelbinder links aus Zwischenablage aufnehmen - holen an Position - Qualitätskontrolle durchführen,Einbau Kabelbinder,holen von Kabelbinder links,3000NT2....5,0
Kardanwelle-links 2x scannen mit Scanner,- Kardanwelle links aus Zwischenablage aufnehmen - 2x scannen an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kardanwelle an Dämpferstelze,Vorbereitung für scannen von Kardanwelle,3000OF5....2,0
Schraube-hinten heften mit Scanner,- Schraube hinten aus Zwischenablage aufnehmen - heften an Position - Scanner verwenden - Qualitätskontrolle durchführen,Schraube an Schwenklager,Abschluss heften von Schraube hinten,SEC,5
Bremsabschirmblech-hinten 3x heften mit Akkuschrauber,- Bremsabschirmblech hinten aus Zwischenablage aufnehmen - 3x heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Bremsabschirmblech an Spurstange,Bremsabschirmblech hinten heften und positionieren,PT.SEC,1
Luftleitelement-vorne 2x platzieren mit Zange,- Luftleitelement vorne aus Zwischenablage aufnehmen - 2x platzieren an Position - Zange verwenden - Qualitätskontrolle durchführen,Luftleitelement an Querlenker,Luftleitelement vorne platzieren und positionieren,PT.SEC,3
Bremssattel-rechts 4x montieren,- Bremssattel rechts aus Zwischenablage aufnehmen - 4x montieren an Position - Qualitätskontrolle durchführen,Bremssattel an Schwenklager,Abschluss montieren von Bremssattel rechts,M-ZBN.2,3
Kabelbinder-unten montieren mit Scanner,- Kabelbinder unten aus Zwischenablage aufnehmen - montieren an Position - Scanner verwenden - Qualitätskontrolle durchführen,Kabelbinder an Querlenker,Vorbereitung für montieren von Kabelbinder,3000CP4....2,0
Luftleitelement-hinten 2x holen,- Luftleitelement hinten aus Zwischenablage aufnehmen - 2x holen an Position - Qualitätskontrolle durchführen,Luftleitelement an Schwenklager,Abschluss holen von Luftleitelement hinten,PT.SEC,2
Luftleitelement-hinten 2x heften mit Akkuschrauber,- Luftleitelement hinten aus Zwischenablage aufnehmen - 2x heften an Position - Akkuschrauber verwenden - Qualitätskontrolle durchführen,Luftleitelement an Dämpferstelze,2x heften von Luftleitelement hinten,PT.SEC,0
